Chain Name,Chain ID,Token Name,,FinalChainID
Giant Mammoth Mainnet,8989,GMMT,eip155:,eip155:8989
bloxberg,8995,U+25B3,eip155:,eip155:8995
Evmos,9001,EVMOS,eip155:,eip155:9001
Shido Mainnet Block,9008,SHIDO,eip155:,eip155:9008
BerylBit Mainnet,9012,BRB,eip155:,eip155:9012
Nexa Mainnet Block,9025,NEXB,eip155:,eip155:9025
Genesis Coin,9100,GNC,eip155:,eip155:9100
Codefin Mainnet,9223,COF,eip155:,eip155:9223
Evoke Mainnet,9395,MTHN,eip155:,eip155:9395
Oort MainnetDev,9700,OORT,eip155:,eip155:9700
PepeNetwork Mainnet,9779,WPEPE,eip155:,eip155:9779
Carbon EVM,9790,SWTH,eip155:,eip155:9790
OptimusZ7 Mainnet,9797,OZ7,eip155:,eip155:9797
IMPERIUM MAINNET,9819,IMP,eip155:,eip155:9819
Dogelayer Mainnet,9888,DOGE,eip155:,eip155:9888
Larissa Chain,9898,LRS,eip155:,eip155:9898
Espento Mainnet,9911,SPENT,eip155:,eip155:9911
Combo Mainnet,9980,BNB,eip155:,eip155:9980
Volley Mainnet,9981,V2X,eip155:,eip155:9981
Agung Network,9990,AGNG,eip155:,eip155:9990
Mind Smart Chain Mainnet,9996,MIND,eip155:,eip155:9996
Ztc Mainnet,9998,ZTC,eip155:,eip155:9998
Smart Bitcoin Cash,10000,BCH,eip155:,eip155:10000
Gon Chain,10024,GT,eip155:,eip155:10024
SJATSH,10086,ETH,eip155:,eip155:10086
MetaNova Verse,10096,MNV,eip155:,eip155:10096
Blockchain Genesis Mainnet,10101,GEN,eip155:,eip155:10101
MaxxChain Mainnet,10201,PWR,eip155:,eip155:10201
GLScan,10222,GLC,eip155:,eip155:10222
Arthera Mainnet,10242,AA,eip155:,eip155:10242
0XTade,10248,0XT,eip155:,eip155:10248
TAO EVM Mainnet,10321,TAO,eip155:,eip155:10321
Numbers Mainnet,10507,NUM,eip155:,eip155:10507
CryptoCoinPay,10823,CCP,eip155:,eip155:10823
Lamina1,10849,L1,eip155:,eip155:10849
Lamina1 Identity,10850,L1ID,eip155:,eip155:10850
Quadrans Blockchain,10946,QDC,eip155:,eip155:10946
Astra,11110,ASA,eip155:,eip155:11110
WAGMI,11111,WGM,eip155:,eip155:11111
HashBit Mainnet,11119,HBIT,eip155:,eip155:11119
Shine Chain,11221,SC20,eip155:,eip155:11221
Haqq Network,11235,ISLM,eip155:,eip155:11235
BEVM Mainnet,11501,BTC,eip155:,eip155:11501
SatsChain,11521,SATS,eip155:,eip155:11521
Polygon Supernet Arianee,11891,ARIA20,eip155:,eip155:11891
SatoshiChain Mainnet,12009,SATS,eip155:,eip155:12009
Aternos,12020,ATR,eip155:,eip155:12020
Singularity ZERO Mainnet,12052,ZERO,eip155:,eip155:12052
BRC Chain Mainnet,12123,BRC,eip155:,eip155:12123
Fibonacci Mainnet,12306,FIBO,eip155:,eip155:12306
L3X Protocol,12324,ETH,eip155:,eip155:12324
RSS3 VSL Mainnet,12553,RSS3,eip155:,eip155:12553
SPS,13000,ECG,eip155:,eip155:13000
Credit Smart Chain,13308,CREDIT,eip155:,eip155:13308
Immutable zkEVM,13371,IMX,eip155:,eip155:13371
Phoenix Mainnet,13381,PHX,eip155:,eip155:13381
Masa,13396,MASA,eip155:,eip155:13396
Kronobit Mainnet,13600,KNB,eip155:,eip155:13600
Susono,13812,OPN,eip155:,eip155:13812
Poodl Mainnet,15259,POODL,eip155:,eip155:15259
KYMTC Mainnet,15430,KYMTC,eip155:,eip155:15430
LoopNetwork Mainnet,15551,LOOP,eip155:,eip155:15551
MetaDot Mainnet,16000,MTT,eip155:,eip155:16000
DeFiVerse Mainnet,16116,OAS,eip155:,eip155:16116
PLYR PHI,16180,PLYR,eip155:,eip155:16180
Pivotal Sepolia,16481,PLUS,eip155:,eip155:16481
Genesys Mainnet,16507,GSYS,eip155:,eip155:16507
AirDAO Mainnet,16718,AMB,eip155:,eip155:16718
Holesky,17000,ETH,eip155:,eip155:17000
Garnet Holesky,17069,ETH,eip155:,eip155:17069
Onchain Points,17071,POP,eip155:,eip155:17071
G8Chain Mainnet,17171,G8C,eip155:,eip155:17171
Eclipse Subnet,17172,ECLP,eip155:,eip155:17172
KONET Mainnet,17217,KONET,eip155:,eip155:17217
EOS EVM Network,17777,EOS,eip155:,eip155:17777
Smart Trade Networks,18122,STN,eip155:,eip155:18122
Proof Of Memes,18159,POM,eip155:,eip155:18159
unreal,18233,reETH,eip155:,eip155:18233
MXC zkEVM Moonchain,18686,MXC,eip155:,eip155:18686
Titan (TKX),18888,TKX,eip155:,eip155:18888
HOME Verse Mainnet,19011,OAS,eip155:,eip155:19011
BlockX Mainnet,19191,BCX,eip155:,eip155:19191
Decentraconnect Social,19224,DCSM,eip155:,eip155:19224
Magnet Network,19527,DOT,eip155:,eip155:19527
LBRY Mainnet,19600,LBC,eip155:,eip155:19600
BTCIX Network,19845,BTCIX,eip155:,eip155:19845
Camelark Mainnet,20001,ETHW,eip155:,eip155:20001
Niza Chain Mainnet,20041,NIZA,eip155:,eip155:20041
P12 Chain,20736,hP2,eip155:,eip155:20736
Jono11 Subnet,20765,JONO,eip155:,eip155:20765
C4EI,21004,C4EI,eip155:,eip155:21004
All About Healthy,21133,AAH,eip155:,eip155:21133
DCpay Mainnet,21223,DCP,eip155:,eip155:21223
CENNZnet Azalea,21337,CPAY,eip155:,eip155:21337
omChain Mainnet,21816,OMC,eip155:,eip155:21816
BSL Mainnet,21912,ONF,eip155:,eip155:21912
Taycan,22023,SFL,eip155:,eip155:22023
Nautilus Mainnet,22222,ZBC,eip155:,eip155:22222
MAP Protocol,22776,MAPO,eip155:,eip155:22776
Oasis Sapphire,23294,ROSE,eip155:,eip155:23294
DreyerX Mainnet,23451,DRX,eip155:,eip155:23451
MintMe.com Coin,24734,MINTME,eip155:,eip155:24734
LiquidLayer Mainnet,25186,LILA,eip155:,eip155:25186
Hammer Chain Mainnet,25888,GOLDT,eip155:,eip155:25888
Hertz Network Mainnet,26600,HTZ,eip155:,eip155:26600
OasisChain Mainnet,26863,OAC,eip155:,eip155:26863
KLAOS Nova,27181,KLAOS,eip155:,eip155:27181
Nanon Sepolia,27483,ETH,eip155:,eip155:27483
zeroone Mainnet Subnet,27827,ZERO,eip155:,eip155:27827
Vizing Mainnet,28518,ETH,eip155:,eip155:28518
Boba Sepolia,28882,ETH,eip155:,eip155:28882
Nexa MetaNet,29223,NEXA,eip155:,eip155:29223
MCH Verse Mainnet,29548,OAS,eip155:,eip155:29548
MiYou Mainnet,30088,MY,eip155:,eip155:30088
Ethersocial Network,31102,ESN,eip155:,eip155:31102
CloudTx Mainnet,31223,CLD,eip155:,eip155:31223
Xchain Mainnet,31753,INTD,eip155:,eip155:31753
Santiment Intelligence Network,32382,SANR,eip155:,eip155:32382
Bitgert Mainnet,32520,Brise,eip155:,eip155:32520
Fusion Mainnet,32659,FSN,eip155:,eip155:32659
Zilliqa EVM,32769,ZIL,eip155:,eip155:32769
Zilliqa EVM Isolated Server,32990,ZIL,eip155:,eip155:32990
Entangle Mainnet,33033,NGL,eip155:,eip155:33033
Cloudverse Subnet,33210,XCLOUD,eip155:,eip155:33210
Aves Mainnet,33333,AVS,eip155:,eip155:33333
SlingShot,33401,SLING,eip155:,eip155:33401
Funki,33979,ETH,eip155:,eip155:33979
Mode,34443,ETH,eip155:,eip155:34443
J2O Taro,35011,taro,eip155:,eip155:35011
Q Mainnet,35441,QGOV,eip155:,eip155:35441
ConnectorManager,38400,cmRPG,eip155:,eip155:38400
