Chain Name,Chain ID,Token Name,,FinalChainID
Milvine,9322253,GAS,eip155:,eip155:9322253
Soverun Mainnet,10101010,SVRN,eip155:,eip155:10101010
AlienX Mainnet,10241024,ETH,eip155:,eip155:10241024
Sepolia,11155111,ETH,eip155:,eip155:11155111
PepChain Churchill,13371337,TPEP,eip155:,eip155:13371337
Anduschain Mainnet,14288640,DEB,eip155:,eip155:14288640
Mande Network Mainnet,18071918,MAND,eip155:,eip155:18071918
IOLite,18289463,ILT,eip155:,eip155:18289463
DeepBrainChain Mainnet,19880818,DBC,eip155:,eip155:19880818
SmartMesh Mainnet,20180430,SMT,eip155:,eip155:20180430
quarkblockchain,20181205,QKI,eip155:,eip155:20181205
Pego Network,20201022,PG,eip155:,eip155:20201022
DBK Chain,20240603,ETH,eip155:,eip155:20240603
Excelon Mainnet,22052002,xlon,eip155:,eip155:22052002
Excoincial Chain Mainnet,27082022,EXL,eip155:,eip155:27082022
Auxilium Network Mainnet,28945486,AUX,eip155:,eip155:28945486
Flachain Mainnet,29032022,FLA,eip155:,eip155:29032022
Joys Digital Mainnet,35855456,JOYS,eip155:,eip155:35855456
Kingdom Chain,39916801,KOZI,eip155:,eip155:39916801
maistestsubnet,43214913,MAI,eip155:,eip155:43214913
Aquachain,61717561,AQUA,eip155:,eip155:61717561
SX Toronto Rollup,79479957,SX,eip155:,eip155:79479957
T.E.A.M Blockchain,88888888,$TEAM,eip155:,eip155:88888888
Polygon Blackberry,94204209,ETH,eip155:,eip155:94204209
